,osm_id,Extra_cost,Number_of_accidents_total,Number_of_casualties_total,Average_severity,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5
143,12717245,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
144,32004981,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
145,31483111,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
146,30819964,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
147,399489585,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
148,673344283,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
149,191130991,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
150,27403831,0.05600000000000001,1,2,2.0,0.14600000000000002,0.32600000000000007,0.746,0.626,0.866
151,23348011,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
152,398514577,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
153,11149572,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
154,26501821,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
155,528715400,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
156,320716616,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
157,60770750,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
158,30794194,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
159,685514911,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
160,30326024,0.063,1,1,2.0,0.153,0.3330000000000001,0.7529999999999999,0.633,0.873
161,23323990,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
162,31817689,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
163,31828376,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
164,369117579,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
165,42028074,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
166,24477726,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
167,27026264,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
168,4251618,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
169,38658341,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
170,25996843,0.063,1,1,2.0,0.153,0.3330000000000001,0.7529999999999999,0.633,0.873
171,32036669,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
172,22791839,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
173,155477712,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
174,39521988,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
175,38664142,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
176,8906508,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
177,153967022,0.057,2,2,3.0,0.147,0.32700000000000007,0.7469999999999999,0.627,0.867
178,27330501,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
179,27403824,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
180,189923288,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
181,141799926,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
182,38748962,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
183,30635906,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
184,32255004,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
185,491313422,0.027000000000000003,1,1,3.0,0.11699999999999999,0.29700000000000004,0.7170000000000001,0.597,0.837
186,45836503,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
187,25926302,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
188,30742620,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
189,38477296,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
190,424590083,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
191,154570919,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
192,528715401,0.05600000000000001,1,3,2.0,0.14600000000000002,0.32600000000000007,0.746,0.626,0.866
193,238873058,0.05600000000000001,1,1,2.0,0.14600000000000002,0.32600000000000007,0.746,0.626,0.866
