;;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017
13053;Güstrow, Landkreis (bis 03.09.2011);-;-;-;-;-
13054;Ludwigslust, Landkreis (bis 03.09.2011);-;-;-;-;-
13055;Mecklenburg-Strelitz, Landkreis (bis 03.09.2011);-;-;-;-;-
13056;Müritz, Landkreis (bis 03.09.2011);-;-;-;-;-
13057;Nordvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-
13058;Nordwestmecklenburg, Landkreis (bis 03.09.2011);-;-;-;-;-
13059;Ostvorpommern, Landkreis (bis 03.09.2011);-;-;-;-;-
13060;Parchim, Landkreis (bis 03.09.2011);-;-;-;-;-
13061;Rügen, Landkreis (bis 03.09.2011);-;-;-;-;-
13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;-;-;-;-
13071;Mecklenburgische Seenplatte, Landkreis;262412;261733;262517;261816;260574
13072;Rostock, Landkreis;210555;211878;213473;213945;214635
13073;Vorpommern-Rügen, Landkreis;223109;223470;224820;224971;225123
13074;Nordwestmecklenburg, Landkreis;155265;155424;156270;156825;156993
13075;Vorpommern-Greifswald, Landkreis;238185;237697;238358;237374;237066
13076;Ludwigslust-Parchim, Landkreis;211965;212631;214113;212562;212522
14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-
14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-
14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-
14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-;-;-
14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-;-;-
14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-;-;-
14178;Vogtlandkreis (bis 31.07.2008);-;-;-;-;-
14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-;-;-
14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-;-;-
14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-;-;-
14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-;-;-
14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-;-;-
14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-
14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-
14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-
14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-;-;-
14280;Meißen, Landkreis (bis 31.07.2008);-;-;-;-;-
14284;Niederschlesischer Oberlausitzkreis (b.31.07.2008);-;-;-;-;-
14285;Riesa-Großenhain, Landkreis (bis 31.07.2008);-;-;-;-;-
14286;Löbau-Zittau, Landkreis (bis 31.07.2008);-;-;-;-;-
14287;Sächsische Schweiz, Landkreis (bis 31.07.2008);-;-;-;-;-
14290;Weißeritzkreis (bis 31.07.2008);-;-;-;-;-
14292;Kamenz, Landkreis (bis 31.07.2008);-;-;-;-;-
14365;Leipzig, kreisfreie Stadt (bis 31.07.2008);-;-;-;-;-
14374;Delitzsch, Landkreis (bis 31.07.2008);-;-;-;-;-
14375;Döbeln, Landkreis (bis 31.07.2008);-;-;-;-;-
14379;Leipziger Land, Landkreis (bis 31.07.2008);-;-;-;-;-
14383;Muldentalkreis (bis 31.07.2008);-;-;-;-;-
14389;Torgau-Oschatz, Landkreis (bis 31.07.2008);-;-;-;-;-
14511;Chemnitz, kreisfreie Stadt;242022;243521;248645;246353;246855
14521;Erzgebirgskreis;351309;349582;347665;344136;340373
14522;Mittelsachsen, Landkreis;314591;312711;312450;310505;308153
14523;Vogtlandkreis;233970;232390;232318;231051;229584
14524;Zwickau, Landkreis;327062;325137;324534;322099;319988
14612;Dresden, kreisfreie Stadt;530754;536308;543825;547172;551072
14625;Bautzen, Landkreis;308350;306570;306273;304691;302634
14626;Görlitz, Landkreis;262168;260188;260000;258337;256587
14627;Meißen, Landkreis;243716;243745;245244;243889;242862
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;245939;245954;247412;246066;245418
