id,Longitude,Latitude,Accident_Severity,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
172,-2.917357,53.445699,3,1,1,1
173,-2.944069,53.382596,3,4,1,2
174,-2.992595,53.404361,3,1,1,1
175,-2.93303,53.436742,3,1,1,1
176,-2.984875,53.432892,3,1,1,1
177,-2.937555,53.397479000000004,3,1,9,-1
178,-2.9494439999999997,53.3897,2,1,1,1
179,-2.927234,53.397991000000005,3,1,1,1
180,-2.894047,53.38460799999999,2,4,1,1
181,-2.886732,53.426182,3,1,1,1
182,-2.969574,53.388845999999994,2,4,1,1
183,-2.982643,53.426178,3,4,1,1
184,-2.959882,53.40919399999999,2,1,1,1
185,-2.9493669999999996,53.466653,1,1,1,1
186,-2.9233599999999997,53.430929000000006,3,1,1,1
187,-2.962047,53.403127000000005,3,4,1,1
188,-2.885335,53.40599399999999,3,1,1,2
189,-2.965752,53.441866000000005,2,1,1,1
190,-2.9479029999999997,53.467177,3,1,1,1
191,-2.916675,53.384643000000004,3,4,2,2
192,-2.881199,53.419876,3,4,2,2
193,-2.9957700000000003,53.407004,2,4,1,1
194,-2.972537,53.435716000000006,3,4,1,1
195,-2.9716,53.438205,2,4,2,2
196,-2.9241,53.426878,3,1,1,2
197,-2.96231,53.387475,3,4,1,2
198,-2.9113990000000003,53.443785,3,1,1,1
199,-2.931861,53.38189200000001,2,1,1,1
200,-2.976301,53.402913,3,1,1,1
201,-2.963674,53.425236,2,1,1,1
202,-2.988149,53.407238,3,4,1,1
203,-2.958014,53.43049499999999,3,4,1,1
204,-2.943261,53.388904000000004,3,1,1,1
205,-2.934924,53.393401000000004,3,1,1,1
206,-2.9707529999999998,53.441340000000004,3,1,1,1
207,-2.987807,53.406773,2,4,1,1
208,-2.870809,53.345848,3,4,1,2
209,-2.970749,53.441807,3,4,1,1
210,-2.9275,53.440622999999995,3,1,1,1
211,-2.967742,53.445301,3,1,9,-1
212,-2.910215,53.43278299999999,3,1,1,1
213,-2.967658,53.436979,3,1,1,2
214,-2.910308,53.458273999999996,2,1,1,1
215,-2.9925349999999997,53.40436999999999,3,1,1,1
216,-2.9879729999999998,53.400318000000006,3,4,9,-1
217,-2.8681900000000002,53.36183199999999,2,1,1,2
218,-2.9182669999999997,53.427147999999995,3,1,1,1
219,-2.972581,53.435680000000005,3,1,1,1
220,-2.844799,53.34163100000001,3,1,1,2
221,-2.937481,53.39475600000001,3,1,1,1
222,-2.940909,53.460859,3,1,2,2
223,-2.975606,53.402127,2,4,1,1
224,-2.9967029999999997,53.419913,3,1,1,1
225,-2.961909,53.423686,3,1,1,1
226,-2.9691110000000003,53.448562,2,1,1,1
227,-2.9966180000000002,53.423329,3,1,1,2
228,-2.9966209999999998,53.418979,3,4,1,1
229,-2.9341470000000003,53.397056000000006,2,1,1,1
230,-2.898388,53.445088,3,4,1,1
231,-2.9490439999999998,53.42715,3,4,1,1
232,-2.879686,53.43625600000001,3,7,1,1
233,-2.91488,53.43761899999999,3,1,1,1
234,-2.927913,53.38977,3,1,1,1
235,-2.990982,53.40876,3,1,1,1
236,-2.992744,53.404323,3,1,1,1
237,-2.948513,53.412098,3,1,1,1
238,-2.958924,53.397364,2,1,1,1
239,-2.921103,53.377337,3,1,1,1
240,-2.9442,53.39668100000001,2,1,2,2
241,-2.982555,53.41190400000001,3,4,2,2
242,-2.966837,53.447879,2,4,2,2
243,-2.9968790000000003,53.411345,2,1,1,1
244,-2.90983,53.368938,3,4,1,1
245,-2.9140099999999998,53.408986999999996,3,1,2,2
246,-2.933632,53.442211,3,1,1,1
247,-2.959421,53.392029,3,1,1,1
248,-2.94532,53.397013,3,4,1,1
249,-2.9778189999999998,53.429111999999996,3,1,1,1
